TIME,GEO,UNIT,CATEGORY,AGE,SEX,Value,Flag and Footnotes
2009,Belgium,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,333.3,
2009,Belgium,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,300.5,
2009,Belgium,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,93.8,
2009,Belgium,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,61,
2009,Belgium,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,22.1,
2009,Bulgaria,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,179.6,
2009,Bulgaria,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,155.4,
2009,Bulgaria,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,45.1,
2009,Bulgaria,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,20.8,
2009,Bulgaria,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,6.5,u
2009,Czechia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,237.3,
2009,Czechia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,140.9,
2009,Czechia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,128.5,
2009,Czechia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,32.1,
2009,Czechia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,13,
2009,Denmark,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,165.4,
2009,Denmark,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,110.7,
2009,Denmark,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,68.1,
2009,Denmark,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,13.5,
2009,Denmark,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,4.9,
2009,Germany (until 1990 former territory of the FRG),Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3250.7,
2009,Germany (until 1990 former territory of the FRG),Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,2197.9,
2009,Germany (until 1990 former territory of the FRG),Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1292.5,
2009,Germany (until 1990 former territory of the FRG),Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,239.7,
2009,Germany (until 1990 former territory of the FRG),Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,109.2,
2009,Estonia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,57.6,
2009,Estonia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,48.4,
2009,Estonia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,20.7,
2009,Estonia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,11.4,
2009,Estonia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,4,
2009,Ireland,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,153.4,
2009,Ireland,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,137.2,
2009,Ireland,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,53.1,
2009,Ireland,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,37,
2009,Ireland,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,13.7,
2009,Greece,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,160.3,b
2009,Greece,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,144.4,b
2009,Greece,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,42.3,b
2009,Greece,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,26.4,b
2009,Greece,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,6.4,b
2009,Spain,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1016.7,
2009,Spain,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,934.3,
2009,Spain,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,258.1,
2009,Spain,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,175.6,
2009,Spain,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,44.4,
2009,France,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1867.8,
2009,France,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,1640.5,
2009,France,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,536,
2009,France,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,308.7,
2009,France,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,64.8,
2009,Croatia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,74.5,
2009,Croatia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,62.6,
2009,Croatia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,20.2,
2009,Croatia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,8.3,u
2009,Croatia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,2.4,u
2009,Italy,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,737.7,
2009,Italy,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,531.9,
2009,Italy,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,291.8,
2009,Italy,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,86,
2009,Italy,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,23.1,
2009,Cyprus,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,24.4,b
2009,Cyprus,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,22,b
2009,Cyprus,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,7.3,b
2009,Cyprus,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,4.9,b
2009,Cyprus,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,1.2,bu
2009,Latvia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,71.1,
2009,Latvia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,52,
2009,Latvia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,32.5,
2009,Latvia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,13.4,
2009,Latvia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,5.1,
2009,Lithuania,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,96.5,
2009,Lithuania,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,79.5,
2009,Lithuania,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,35.7,
2009,Lithuania,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,18.8,
2009,Lithuania,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,6.1,u
2009,Luxembourg,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,16.1,b
2009,Luxembourg,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,13.1,b
2009,Luxembourg,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,6.3,b
2009,Luxembourg,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3.4,b
2009,Luxembourg,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,0.9,bu
2009,Hungary,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,180.8,
2009,Hungary,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,149.5,
2009,Hungary,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,59.2,
2009,Hungary,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,27.9,
2009,Hungary,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,10.3,
2009,Malta,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,11.2,
2009,Malta,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,7.6,
2009,Malta,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,6.5,
2009,Malta,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3,
2009,Malta,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,1.6,
2009,Netherlands,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,619,
2009,Netherlands,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,446.6,
2009,Netherlands,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,269.7,
2009,Netherlands,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,97.3,
2009,Netherlands,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,26.8,
2009,Austria,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,241.8,
2009,Austria,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,126.9,
2009,Austria,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,133.5,
2009,Austria,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,18.6,
2009,Austria,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,8.7,
2009,Poland,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,743.4,
2009,Poland,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,594.9,
2009,Poland,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,271.7,
2009,Poland,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,123.1,
2009,Poland,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,40.4,
2009,Portugal,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,129.1,
2009,Portugal,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,106.7,
2009,Portugal,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,51.1,
2009,Portugal,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,28.7,
2009,Portugal,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,12.4,
2009,Romania,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,245.3,
2009,Romania,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,195.8,
2009,Romania,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,92.3,
2009,Romania,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,42.8,
2009,Romania,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,8.9,u
2009,Slovenia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,44.6,
2009,Slovenia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,31.3,
2009,Slovenia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,17.3,
2009,Slovenia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3.9,u
2009,Slovenia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,1.4,u
2009,Slovakia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,105.3,
2009,Slovakia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,72.7,
2009,Slovakia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,47,
2009,Slovakia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,14.4,
2009,Slovakia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,3.4,
2009,Finland,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,157.4,
2009,Finland,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,121,
2009,Finland,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,50.2,
2009,Finland,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,13.8,
2009,Finland,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,6.4,
2009,Sweden,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,324.7,
2009,Sweden,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,256.1,
2009,Sweden,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,118.8,
2009,Sweden,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,50.2,
2009,Sweden,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,11.8,
2009,United Kingdom,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1922.8,
2009,United Kingdom,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,1594.1,
2009,United Kingdom,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,726.3,
2009,United Kingdom,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,397.6,
2009,United Kingdom,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,128.4,
2009,Iceland,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,8,
2009,Iceland,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,3,
2009,Iceland,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,6.3,
2009,Iceland,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1.3,
2009,Iceland,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,0.8,
2009,Norway,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,130.2,
2009,Norway,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,103.9,
2009,Norway,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,54.9,
2009,Norway,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,28.6,
2009,Norway,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,4.2,
2009,Switzerland,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,331.5,
2009,Switzerland,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,167.4,
2009,Switzerland,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,199.7,
2009,Switzerland,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,35.6,
2009,Switzerland,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,22.7,
2009,North Macedonia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,33.4,
2009,North Macedonia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,30.3,
2009,North Macedonia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,5.4,
2009,North Macedonia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,2.3,
2009,North Macedonia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,0.6,u
2009,Turkey,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,882.9,
2009,Turkey,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,732.9,
2009,Turkey,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,298.7,
2009,Turkey,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,148.7,
2009,Turkey,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,22.6,
2010,European Union - 28 countries,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,13408,
2010,European Union - 28 countries,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,10655.7,
2010,European Union - 28 countries,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,4637.7,
2010,European Union - 28 countries,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1885.4,
2010,European Union - 28 countries,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,572.4,
2010,European Union - 15 countries (1995-2004),Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,11307.1,
2010,European Union - 15 countries (1995-2004),Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,8943.5,
2010,European Union - 15 countries (1995-2004),Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3930.2,
2010,European Union - 15 countries (1995-2004),Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1566.6,
2010,European Union - 15 countries (1995-2004),Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,479.6,
2010,Euro area (19 countries),Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,9136.9,
2010,Euro area (19 countries),Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,7135.2,
2010,Euro area (19 countries),Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3152.6,
2010,Euro area (19 countries),Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1150.9,
2010,Euro area (19 countries),Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,371.3,
2010,Belgium,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,347.1,
2010,Belgium,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,318.7,
2010,Belgium,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,87.1,
2010,Belgium,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,58.7,
2010,Belgium,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,21.8,
2010,Bulgaria,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,167.4,b
2010,Bulgaria,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,144.8,b
2010,Bulgaria,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,40,b
2010,Bulgaria,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,17.4,b
2010,Bulgaria,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,5.8,bu
2010,Czechia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,234.1,b
2010,Czechia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,156.2,b
2010,Czechia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,109.2,b
2010,Czechia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,31.3,b
2010,Czechia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,9.4,b
2010,Denmark,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,175.5,
2010,Denmark,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,122.2,
2010,Denmark,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,70.3,
2010,Denmark,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,16.9,
2010,Denmark,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,5.4,
2010,Germany (until 1990 former territory of the FRG),Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,3221.1,b
2010,Germany (until 1990 former territory of the FRG),Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,2195,b
2010,Germany (until 1990 former territory of the FRG),Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1260.6,b
2010,Germany (until 1990 former territory of the FRG),Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,234.5,b
2010,Germany (until 1990 former territory of the FRG),Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,119.6,b
2010,Estonia,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,57.7,
2010,Estonia,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,49.4,
2010,Estonia,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,18.8,
2010,Estonia,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,10.4,
2010,Estonia,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,5.1,
2010,Ireland,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,145.1,
2010,Ireland,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,131,
2010,Ireland,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,43.3,
2010,Ireland,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,29.2,
2010,Ireland,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,10.5,
2010,Greece,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,161.9,
2010,Greece,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,149.9,
2010,Greece,Thousand,Persons employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,34.7,
2010,Greece,Thousand,Persons with tertiary education (ISCED) and employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,22.8,
2010,Greece,Thousand,Scientists and engineers,From 15 to 24 years and 65 to 74 years,Total,5.6,
2010,Spain,Thousand,Persons with tertiary education (ISCED) and/or employed in science and technology,From 15 to 24 years and 65 to 74 years,Total,1055.3,
2010,Spain,Thousand,Persons with tertiary education (ISCED),From 15 to 24 years and 65 to 74 years,Total,982,
